configNumber,iterationNumber,player,goalScore,distanceScore,chipsWithOtherPlayersScore,chipsWithAuctionScore,chipsWithPlayerScore,auctionChipsWithPlayerScore,fines,totalScore
1,1,Agent0000,0.0,2.0,0.0,0.25,0.0,0.25,0.0,2.0,
1,1,Agent0001,0.0,2.0,0.0,0.5,0.0,1.0,0.0,2.5,
1,1,Agent0002,0.0,2.0,0.0,0.25,0.0,0.25,0.0,2.0,
1,1,Agent0003,0.0,2.0,0.0,0.25,0.0,0.0,0.0,1.75,
1,1,Agent0004,0.0,2.0,0.0,0.75,0.0,0.5,0.0,1.75,

1,2,Agent0000,0.0,1.5,0.0,0.5,0.0,1.25,0.0,2.25,
1,2,Agent0001,0.0,1.5,0.0,0.25,0.0,0.75,0.0,2.0,
1,2,Agent0002,0.0,1.75,0.0,1.25,0.0,1.75,0.0,2.25,
1,2,Agent0003,0.0,1.5,0.0,0.25,0.0,0.5,0.0,1.75,
1,2,Agent0004,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5,

1,1,Agent0000,0.0,2.0,0.0,0.25,0.0,0.25,0.0,2.0,
1,1,Agent0001,0.0,2.0,0.0,0.5,0.0,1.0,0.0,2.5,
1,1,Agent0002,0.0,2.0,0.0,0.25,0.0,0.25,0.0,2.0,
1,1,Agent0003,0.0,2.0,0.0,0.25,0.0,0.0,0.0,1.75,
1,1,Agent0004,0.0,2.0,0.0,0.75,0.0,0.5,0.0,1.75,

1,2,Agent0000,0.0,1.5,0.0,0.5,0.0,1.25,0.0,2.25,
1,2,Agent0001,0.0,1.5,0.0,0.25,0.0,0.75,0.0,2.0,
1,2,Agent0002,0.0,1.75,0.0,1.25,0.0,1.75,0.0,2.25,
1,2,Agent0003,0.0,1.5,0.0,0.25,0.0,0.5,0.0,1.75,
1,2,Agent0004,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5,

1,3,Agent0000,0.0,1.5,0.0,1.0,0.0,2.25,0.0,2.75,
1,3,Agent0001,0.0,1.75,0.0,0.75,0.0,0.75,0.0,1.75,
1,3,Agent0002,0.0,1.75,0.0,0.25,0.0,0.5,0.0,2.0,
1,3,Agent0003,0.0,1.75,0.0,0.25,0.0,0.5,0.0,2.0,
1,3,Agent0004,0.0,1.75,0.0,0.5,0.0,1.0,0.0,2.25,

1,4,Agent0000,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,
1,4,Agent0001,0.0,2.0,0.0,1.0,0.0,1.5,0.0,2.5,
1,4,Agent0002,0.0,2.0,0.0,0.25,0.0,0.5,0.0,2.25,
1,4,Agent0003,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,
1,4,Agent0004,0.0,2.0,0.0,1.25,0.0,2.0,0.0,2.75,

1,5,Agent0000,0.0,1.25,0.0,0.75,0.0,1.0,0.0,1.5,
1,5,Agent0001,0.0,1.25,0.0,0.25,0.0,0.25,0.0,1.25,
1,5,Agent0002,0.0,1.25,0.0,0.25,0.0,0.5,0.0,1.5,
1,5,Agent0003,0.0,1.25,0.0,0.25,0.0,0.25,0.0,1.25,
1,5,Agent0004,0.0,1.25,0.0,0.75,0.0,2.0,0.0,2.5,

2,1,Agent0000,0.0,2.0,0.0,0.75,0.0,0.25,0.0,1.5,
2,1,Agent0001,0.0,2.5,0.0,1.5,0.0,1.75,0.0,2.75,
2,1,Agent0002,0.0,2.25,0.0,0.75,0.0,1.25,0.0,2.75,
2,1,Agent0003,0.0,1.75,0.0,1.5,0.0,2.5,0.0,2.75,
2,1,Agent0004,0.0,2.25,0.0,0.75,0.0,0.0,0.0,1.5,

2,2,Agent0000,0.0,1.75,0.0,0.75,0.0,0.0,0.0,1.0,
2,2,Agent0001,0.0,1.75,0.0,1.0,0.0,1.5,0.0,2.25,
2,2,Agent0002,0.0,2.0,0.0,0.5,0.0,0.25,0.0,1.75,
2,2,Agent0003,0.0,1.75,0.0,1.5,0.0,1.75,0.0,2.0,
2,2,Agent0004,0.0,1.75,0.0,1.25,0.0,2.75,0.0,3.25,

2,3,Agent0000,0.0,1.75,0.0,0.5,0.0,1.0,0.0,2.25,
2,3,Agent0001,0.0,1.5,0.0,0.75,0.0,0.25,0.0,1.0,
2,3,Agent0002,0.0,1.5,0.0,1.25,0.0,2.0,0.0,2.25,
2,3,Agent0003,0.0,2.0,0.0,2.0,0.0,3.5,0.0,3.5,
2,3,Agent0004,0.0,1.75,0.0,0.75,0.0,1.75,0.0,2.75,

2,4,Agent0000,0.0,1.75,0.0,1.5,0.0,1.75,0.0,2.0,
2,4,Agent0001,0.0,1.5,0.0,0.75,0.0,1.0,0.0,1.75,
2,4,Agent0002,0.0,1.5,0.0,0.75,0.0,1.0,0.0,1.75,
2,4,Agent0003,0.0,1.25,0.0,1.25,0.0,1.5,0.0,1.5,
2,4,Agent0004,0.0,1.5,0.0,0.5,0.0,0.5,0.0,1.5,

2,5,Agent0000,0.0,1.75,0.0,1.5,0.0,2.5,0.0,2.75,
2,5,Agent0001,0.0,2.0,0.0,1.0,0.0,2.0,0.0,3.0,
2,5,Agent0002,0.0,2.0,0.0,1.5,0.0,2.75,0.0,3.25,
2,5,Agent0003,0.0,2.0,0.0,0.5,0.0,0.25,0.0,1.75,
2,5,Agent0004,0.0,2.0,0.0,0.5,0.0,0.5,0.0,2.0,

